ceo2016,srleadership,company_ratings,error,comp,ceoratings,numberOfRatings,culturevalues,ceopctApprove,id,overall,industry,careerops,rectofriend,wlb
Jamie Dimon,3.1,J.P. Morgan,None,3.6,4267,10317,3.4,88,145,3.6,Investment Banking & Asset Management,3.5,70,3.2
Steven Demetriou,2.8,Jacobs,None,3.3,148,1631,3.3,78,913,3.3,Construction,3.1,63,3.5
Samuel Allen,3.4,John Deere,None,3.8,552,1106,3.9,95,195,3.8,Industrial Manufacturing,3.3,77,3.8
Alex Gorsky,3.6,Johnson & Johnson,None,4,1032,2839,4.1,96,364,4.1,Biotech & Pharmaceuticals,3.7,87,3.8
Alex A. Molinaroli,2.8,Johnson Controls,None,3.6,461,1622,3.3,48,365,3.4,Industrial Manufacturing,3.2,63,3.2
Ted Doheny II,2.3,Joy Global,None,3.6,42,133,2.9,44,316,3.1,Industrial Manufacturing,2.7,50,3.1
Rami Rahim,3.5,Juniper Networks,None,4.1,351,1517,4,98,7224,4,Enterprise Software & Network Solutions,3.7,83,3.9
John Bryant,2.8,Kellogg Company,None,3.6,443,956,3.4,69,377,3.3,Food & Beverage Manufacturing,3.1,59,3.1
Bob Gamgort,2.2,Keurig Green Mountain,None,3.6,19,282,2.9,67,4869,3,Food & Beverage Manufacturing,2.8,45,3.1
Beth E. Mooney,3,KeyBank,None,3.4,354,799,3.4,82,381,3.3,Investment Banking & Asset Management,3.1,65,3.6
Tom Falk,3.4,Kimberly-Clark,None,3.8,472,906,4,90,383,3.9,Consumer Products Manufacturing,3.6,78,3.8
Steve Kean,2.6,Kinder Morgan,None,3.5,15,267,3,53,4156,3.3,Oil & Gas Services,3,58,2.8
Rick Wallace,3.1,KLA-Tencor,None,3.4,300,560,3.4,89,1557,3.6,Industrial Manufacturing,3.2,68,3
Kevin B. Mansell,3.2,Kohl's,None,3,2089,5649,3.6,77,592,3.4,"Department, Clothing, & Shoe Stores",3.1,66,3.5
Rodney McMullen,2.7,Kroger,None,2.9,978,4800,3.1,59,386,3,Grocery Stores & Supermarkets,2.9,46,2.8
Leslie H. Wexner,3.3,L Brands,None,3.7,246,405,3.8,94,656,3.6,"Department, Clothing, & Shoe Stores",3.3,72,3.3
Michael T. Strianese,2.7,L-3 Communications,None,3.7,439,1290,3,71,10080,3.3,Aerospace & Defense,3,59,3.2
Dave King,2.5,LabCorp,None,3.1,397,1068,2.7,59,1679,3.1,Research & Development,2.7,56,2.9
Martin Anstice,3.3,Lam Research,None,3.8,176,407,3.7,91,1582,3.7,Electrical & Electronic Manufacturing,3.5,73,3.1
Joseph A. Sullivan,3.1,Legg Mason,None,3.5,13,99,3.7,89,397,3.5,Investment Banking & Asset Management,2.9,68,4.1
Karl G. Glassman,3.2,Leggett & Platt,None,3.3,7,108,3.2,100,398,3.3,Miscellaneous Manufacturing,3.5,60,3.2
Stuart A. Miller,3.2,Lennar,None,3.5,92,181,3.4,82,400,3.4,Real Estate,3.2,57,3.3
Jeff Storey,2.6,Level 3 Communications,None,3.3,349,970,2.8,63,7705,2.9,"Cable, Internet & Telephone Providers",2.8,47,3
Dennis R. Glass,2.9,Lincoln Financial Group,None,3.6,216,504,3.5,84,403,3.4,Insurance Carriers,3,69,3.4
Lothar Maier,3.2,Linear Technology,None,4.1,48,90,2.9,87,1598,3.7,Electrical & Electronic Manufacturing,3,58,3.4
Marillyn Hewson,3.1,Lockheed Martin,None,3.6,1382,4450,3.5,86,404,3.6,Aerospace & Defense,3.4,72,3.6
Robert A. Niblock,3,Lowe's,None,3.5,3791,10727,3.5,73,415,3.5,Home Centers & Hardware Stores,3.3,72,3
Bhavesh V. â€œBobâ€ù Patel,3.2,LyondellBasell,None,3.9,45,261,3.5,96,15015,3.2,Chemical Manufacturing,3.4,64,3.3
Bob Wilmers,3.1,M&T Bank,None,2.8,322,650,3.4,90,858,3.2,Banks & Credit Unions,3.2,60,3.5
Art Coppola,2.5,Macerich,None,3.2,36,68,2.8,59,3939,3,Real Estate,2.2,40,3.3
Terry J. Lundgren,2.7,Macy's,None,2.7,3557,11597,3.1,66,1079,3.1,"Department, Clothing, & Shoe Stores",2.9,53,3.1
Mark Trudeau,2.3,Mallinckrodt Pharmaceuticals,None,3.2,77,183,2.5,31,669747,2.6,Biotech & Pharmaceuticals,2.4,36,3.1
Lee Tillman,2.4,Marathon Oil,None,3.8,82,219,3.1,22,8229,2.9,Oil & Gas Exploration & Production,2.6,46,3.8
Gary R. Heminger,3.7,Marathon Petroleum,None,4.3,136,266,3.9,89,7657,4,Oil & Gas Exploration & Production,3.9,77,3.8
Arne Sorenson,3.3,Marriott,None,3.4,1287,3646,3.8,90,7790,3.8,"Hotels, Motels, & Resorts",3.6,72,3.2
Daniel S. Glaser,3.1,Marsh & McLennan Companies,None,3.5,55,491,3.4,95,426,3.6,Insurance Agencies & Brokerages,3.4,77,3.4
Keith Allman,2.6,Masco,None,3,16,87,3.1,59,427,3,Consumer Products Manufacturing,2.3,54,3.3
Ajay Banga,3.1,MasterCard,None,3.7,454,750,3.6,92,3677,3.5,Financial Transaction Processing,3.3,70,3.6
Christopher A. Sinclair,2.5,Mattel,None,3.5,69,484,2.9,52,428,3.1,Consumer Products Manufacturing,2.8,57,3.4
Lawrence Kurzius,2.8,McCormick & Company,None,3.6,5,128,3.6,63,1627,3.4,Food & Beverage Manufacturing,3,61,3
Steve Easterbrook,2.8,McDonald's,None,2.6,1620,11724,3,69,432,3.2,Fast-Food & Quick-Service Restaurants,3.1,55,3
Douglas L. Peterson,2.6,McGraw Hill Financial,None,3.4,59,318,3.1,89,433,3.4,Investment Banking & Asset Management,2.9,70,3.6
John H. Hammergren,2.9,McKesson,None,3.5,750,1997,3.3,72,434,3.4,Health Care Services & Hospitals,3.1,60,3.3
Peter Kasper Jakobsen,3.1,Mead Johnson,None,3.7,50,139,3.6,76,13969,3.6,Consumer Products Manufacturing,2.8,82,3.7
Omar S. Ishrak,3.1,Medtronic,None,3.7,715,1785,3.7,91,436,3.7,Biotech & Pharmaceuticals,3.4,76,3.4
Kenneth C. Frazier,2.8,Merck,None,3.6,750,1949,3.3,68,438,3.4,Health Care Services & Hospitals,3,64,3.4
Steven A. Kandarian,2.8,MetLife,None,3.3,707,2062,3.2,71,2899,3.2,Insurance Carriers,2.9,55,3.4
John Idol,2.9,Michael Kors,None,3.4,274,889,3.3,84,20439,3.4,Other Retail Stores,2.8,61,3.1
Steve Sanghi,3.4,Microchip Technology,None,3,208,346,3.8,79,2298,3.4,Electrical & Electronic Manufacturing,3.3,69,4.1
D. Mark Durcan,2.8,Micron Technology,None,3.5,408,972,3.2,74,1648,3.3,Electrical & Electronic Manufacturing,3.2,61,3.2
Satya Nadella,3.4,Microsoft,None,4,4671,15062,3.8,94,1651,4,Computer Hardware & Software,3.7,84,3.7
Jeffrey S. Lorberbaum,2.9,Mohawk Industries,None,3.2,114,231,3.1,78,1644,3.2,Industrial Manufacturing,3.2,61,3.2
Irene Rosenfeld,2.7,Mondelez International,None,3.3,394,974,3,43,628257,3.1,Food & Beverage Manufacturing,2.8,50,2.9
Hugh Grant,3.3,Monsanto Company,None,3.9,555,964,3.8,94,11986,3.9,Food Production,3.4,79,3.7
Ray McDaniel Jr.,3,Moody's,None,3,220,467,3.6,83,11303,3.5,Financial Analytics & Research,3.1,70,3.9
James P. Gorman,3.4,Morgan Stanley,None,3.5,1691,4534,3.7,91,2282,3.7,Investment Banking & Asset Management,3.6,76,3.4
Joc Oâ€™Rourke,3,Mosaic Company (Minnesota),None,3.8,7,95,3.7,37,18767,3.4,Chemical Manufacturing,3.1,65,3.4
Gregory Q. Brown,2.6,Motorola Solutions,None,3.4,531,1241,3.1,32,427189,3.2,Telecommunications Manufacturing,2.8,50,3.6
Roger W. Jenkins,2.1,Murphy Oil,None,3.4,21,128,2.6,23,453,2.6,Oil & Gas Exploration & Production,2.3,36,2.7
Bob Greifeld,3.1,Nasdaq,None,3.5,133,256,3.2,68,12152,3.3,Stock Exchanges,3.1,61,3.3
Clay C. Williams,2.9,National Oilwell Varco,None,3.5,311,1088,3.3,74,3306,3.5,Oil & Gas Services,3.1,66,3.5
John (Jack) F. Remondi,2.7,Navient,None,3.4,49,117,2.8,64,807453,3,Financial Transaction Processing,2.8,43,3
George Kurian,2.8,NetApp,None,3.6,366,2290,3.7,73,5406,3.4,Enterprise Software & Network Solutions,3,59,3.9
Reed Hastings,3.3,Netflix,None,4.3,433,617,3.7,88,11891,3.6,Internet,3.2,64,3.5
Michael B. Polk,2.5,Newell Rubbermaid,None,3,244,570,2.7,53,477,3,Consumer Products Manufacturing,2.8,45,3
Lee K. Boothby,3,Newfield Exploration,None,4.1,39,63,3.4,73,2367,3.5,Oil & Gas Exploration & Production,3.3,71,3.8
Gary J. Goldberg,3.2,Newmont Mining,None,4.1,55,142,3.4,73,479,3.3,Mining,3.1,64,3.2
K. Rupert Murdoch,2.7,News Corp,None,3.3,58,128,3,43,3493,3.3,Motion Picture Production & Distribution,3.2,49,3.4
James L. Robo,3.2,"NextEra Energy, Inc.",None,3.7,105,281,3.7,72,221824,3.7,Utilities,3.5,73,3
Mitch Barns,3.3,Nielsen,None,3.1,748,2608,3.7,92,3776,3.6,Advertising & Marketing,3.5,74,3.4
Mark G. Parker,3.3,NIKE,None,3.6,1249,2377,4.1,93,1699,3.9,Consumer Products Manufacturing,3.5,82,3.6
Joseph Hamrock,3.1,NiSource,None,3.6,18,89,3.5,87,460,3.5,Utilities,3.3,61,3.6
David L. Stover,2.7,Noble Energy,None,3.5,58,180,3.2,58,482,3.2,Oil & Gas Exploration & Production,2.8,61,3.7
Blake W. Nordstrom,3.1,Nordstrom,None,3.4,3928,7041,3.7,90,1704,3.5,"Department, Clothing, & Shoe Stores",3.5,68,2.9
Wick Moorman IV,2.3,Norfolk Southern,None,3.8,189,444,2.4,52,483,2.8,Rail,3,33,1.9
Rick Waddell,3.1,Northern Trust,None,2.9,556,1103,3.7,90,1710,3.6,Banks & Credit Unions,3.2,73,3.8
Wesley G. Bush,3.1,Northrop Grumman,None,3.6,1350,3203,3.5,86,488,3.6,Aerospace & Defense,3.5,76,3.7
Mauricio Gutierrez,3.1,NRG Energy,None,3.7,36,275,3.4,81,11895,3.5,Energy,3.1,54,3.5
John J. Ferriola,3.3,Nucor,None,3.8,24,121,3.8,86,489,3.5,Metal & Mineral Manufacturing,3.3,72,2.8
Jen-Hsun Huang,3.7,NVIDIA,None,3.8,945,1294,4,95,7633,4,Computer Hardware & Software,3.9,86,3.6
Greg Henslee,2.9,O'Reilly Auto Parts,None,2.7,380,964,3.5,76,2328,3.3,Automotive Parts & Accessories Stores,3.2,59,3
Vicki Hollub,3.3,Occidental Petroleum,None,3.9,7,290,3.5,81,491,3.7,Oil & Gas Exploration & Production,3.3,75,3.5
John D. Wren,3.1,Omnicom,None,3.4,28,73,3,89,1734,3.2,Advertising & Marketing,3.3,70,3.1
Terry K. Spencer,3.7,ONEOK,None,3.2,25,78,3.9,96,490,3.6,Transportation Management,2.9,82,3.8
Safra A. Catz & Mark Hurd,2.9,Oracle,None,3.1,2182,12492,3.2,69,1737,3.4,Enterprise Software & Network Solutions,3.2,65,3.8
Andres Lopez,2.6,Owens-Illinois,None,3.4,9,130,2.9,69,2129,3.3,Industrial Manufacturing,3,52,2.8
Ronald E. Armstrong,2.6,PACCAR,None,2.8,62,374,2.5,71,1744,2.8,Transportation Equipment Manufacturing,3.2,47,3.3
Anthony F. Earley Jr.,3.1,Pacific Gas and Electric,None,4.1,368,865,3.6,87,15208,3.9,Utilities,3.7,78,3.6
Lawrence D. Kingsley,2.5,Pall,None,3.2,97,238,2.7,39,974,3,Industrial Manufacturing,2.7,44,2.9
Tom Williams,2.5,Parker Hannifin,None,3.3,153,776,3,67,517,3.1,Industrial Manufacturing,2.9,54,3.1
Scott P. Anderson,2.9,Patterson Companies,None,3.1,45,84,3.3,78,1923,3.2,Wholesale,2.9,51,3.3
Martin Mucci,3.3,Paychex,None,3.4,617,1298,3.7,89,1762,3.6,,3.4,69,3.5
Randall J. Hogan,2.7,Pentair,None,3.2,121,317,3.1,68,1767,3.2,Industrial Manufacturing,3.1,58,3.1
John P. (Jack) Barnes,2.3,People's United Bank,None,2.5,100,260,2.8,57,199620,2.6,Investment Banking & Asset Management,2.5,35,2.7
Joe Rigby,2.8,Pepco Holdings,None,4,47,91,2.8,66,543,3.3,Utilities,3.6,66,3.7
Indra K. Nooyi,3.2,PepsiCo,None,3.7,1826,4964,3.5,76,522,3.4,Food & Beverage Manufacturing,3.5,63,2.9
Rob Friel,2.7,PerkinElmer,None,3.2,125,292,3.1,54,218,3.1,Biotech & Pharmaceuticals,2.9,54,3.3
John Hendrickson,3,Perrigo,None,3.9,11,165,3.3,89,2133,3.6,Biotech & Pharmaceuticals,3.2,74,3.4
Ian Read,3.3,Pfizer,None,3.8,740,2095,3.6,85,525,3.7,Biotech & Pharmaceuticals,3.3,78,3.6
Greg C. Garland,3.4,Phillips 66,None,4.1,126,227,3.8,99,498821,3.8,Asphalt Products Manufacturing,3.5,83,3.5
Marc Lautenbach,3.1,Pitney Bowes,None,3.4,321,1070,3.4,80,535,3.4,Advertising & Marketing,3,61,3.7
William S. Demchak,3,PNC Financial Services Group,None,3,993,3057,3.6,76,507,3.3,Investment Banking & Asset Management,3.3,59,3.5
Stefan Larsson,2.7,Ralph Lauren,None,2.9,128,1204,3.2,73,2937,3.3,Other Retail Stores,2.8,55,2.9
Michael H. McGarry,2.8,PPG,None,3.1,56,576,3,70,508,3.2,Chemical Manufacturing,3.1,56,3.1
Steve Angel,2.6,Praxair,None,3,173,403,3,78,2207,3.1,Chemical Manufacturing,3,55,3
Mark Donegan,2.3,Precision Castparts,None,3.4,85,171,2.3,55,1798,2.8,Transportation Equipment Manufacturing,2.9,40,2.1
Brett Keller,3,Priceline.com,None,3.2,12,99,3.5,61,9005,3.5,Internet,2.8,63,4.3
Daniel J. Houston,3.1,Principal Financial Group,None,3.5,79,489,3.6,90,2941,3.5,Investment Banking & Asset Management,3.1,68,3.8
David S. Taylor,3.4,Procter & Gamble,None,3.9,310,4160,4.2,93,544,4,Consumer Products Manufacturing,3.7,85,3.6
Tricia Griffith,3.3,Progressive Insurance,None,3.8,75,1548,3.9,89,546,3.6,Insurance Carriers,3.4,69,3.3
Hamid R. Moghadam,3.5,Prologis,None,3.9,30,74,3.7,86,2631,3.7,Real Estate,3.5,76,3.3
John R. Strangfeld,3.3,Prudential,None,3.5,635,1456,3.7,90,2944,3.5,Investment Banking & Asset Management,3.4,71,3.7
Ralph Izzo,2.9,PSEG,None,3.8,100,238,3.2,83,16719,3.5,Utilities,3.2,71,3.2
Ronald L. Havner Jr.,2.9,Public Storage,None,3,425,727,2.9,58,626,3.1,Real Estate,2.6,47,3.4
Richard J. Dugas Jr.,2.5,Pulte Homes,None,3.2,175,305,3,47,506,2.9,Construction,2.7,47,2.8
Manny Chirico,3,PVH Corp.,None,3.6,193,349,3.5,80,530,3.5,"Department, Clothing, & Shoe Stores",3,69,3.4
Steve Mollenkopf,2.9,Qualcomm,None,3.7,1007,3588,3.4,63,640,3.6,Computer Hardware & Software,3.4,67,3.2
Steve Rusckowski,2.5,Quest Diagnostics,None,3.2,475,1295,2.9,60,6655,3.1,Health Care Services & Hospitals,2.8,52,3
Thomas A. Kennedy,3,Raytheon,None,3.7,304,2500,3.4,86,561,3.6,Aerospace & Defense,3.4,73,3.6
Jim Whitehurst,3.4,Red Hat,None,3.7,477,744,4.1,97,8868,4,Computer Hardware & Software,3.8,82,4
Leonard S. Schleifer,3.4,Regeneron Pharmaceuticals,None,3.8,184,275,3.7,94,981,3.5,Biotech & Pharmaceuticals,3.5,68,3.1
O. B. Grayson Hall Jr.,3.1,Regions Financial,None,3.3,403,970,3.6,89,1397,3.4,Investment Banking & Asset Management,3.2,63,3.7
Donald W. (Don) Slager,2.6,Republic Services,None,3.5,254,597,2.9,66,8328,3,Utilities,2.9,48,2.7
Susan M. Cameron,4,Reynolds American,None,4.1,134,436,4.2,97,7736,4.2,Consumer Products Manufacturing,3.7,88,3.9
Harold M. Messmer Jr.,3.1,Robert Half,None,3.1,673,1806,3.1,75,1838,3.4,Staffing & Outsourcing,3.4,62,3.2
Blake Moret,3.2,Rockwell Automation,None,3.5,32,820,3.7,90,567,3.6,Electrical & Electronic Manufacturing,3.3,78,3.6
Kelly Ortberg,3.2,Rockwell Collins,None,3.4,338,1088,3.7,93,13435,3.6,Aerospace & Defense,3.4,73,3.8
Barbara Rentler,2.8,Ross Stores,None,2.7,432,2701,3,65,1843,3.1,"Department, Clothing, & Shoe Stores",3.1,53,3.1
Richard D. Fain,3.1,Royal Caribbean Cruises,None,3.5,248,508,3.6,75,3579,3.7,Cruise Ships,3.7,67,3.1
Robert E. Sanchez,2.8,Ryder System,None,3.2,214,668,3,84,575,3.3,Transportation Management,3,63,2.8
Marc Benioff,3.9,Salesforce,None,4.3,1786,2425,4.4,97,11159,4.2,Computer Hardware & Software,4.1,85,3.9
Stephen D. Milligan,2.9,SanDisk,None,3.6,7,549,3.5,100,4479,3.4,Consumer Products Manufacturing,3.1,64,3.1
Kevin Marsh,3.5,SCANA,None,3.7,38,84,3.9,91,577,3.8,Energy,3.2,85,4
Paal Kibsgaard,2.9,Schlumberger,None,3.7,1141,3221,3.4,64,588,3.5,Oil & Gas Services,3.6,69,2.6
Ken Lowe,3.3,Scripps Networks Interactive,None,3.6,125,229,3.8,88,38201,3.8,TV Broadcast & Cable Networks,3.1,81,4
Steve Luczo,2.7,Seagate Technology,None,3.2,451,899,3.1,67,1864,3.1,Computer Hardware & Software,2.7,48,3.6
Jerome Peribere,2.8,Sealed Air Corporation,None,3.3,115,298,3.2,65,590,3.3,Industrial Manufacturing,3.2,60,3.3
Debra Reed,4,Sempra Energy,None,4.4,48,99,4.1,100,8437,4.5,Utilities,3.8,94,3.8
John Morikis,3.2,Sherwin-Williams,None,3.8,102,1956,3.6,90,599,3.7,Chemical Manufacturing,3.8,74,3.1
Rakesh Sachdev,2.9,Sigma-Aldrich,None,3,127,307,3.4,41,1878,3.2,Research & Development,3,64,3.5
David Simon,2.4,Simon Property Group,None,2.8,110,273,2.5,51,2458,2.8,Real Estate,2.7,43,2.7
Liam K. Griffin,2.8,Skyworks Solutions,None,3.3,74,139,3,71,762,3.2,Electrical & Electronic Manufacturing,3,59,2.9
Nick Pinchuk,3.1,Snap-on,None,3.5,72,145,3.6,97,604,3.2,Consumer Products Manufacturing,3,61,2.7
Thomas A. Fanning,3.2,Southern Company,None,3.9,142,288,3.8,90,607,3.8,Utilities,3.3,72,3.7
Gary C. Kelly,3.6,Southwest Airlines,None,4.1,766,1105,4.3,84,611,4.1,Airlines,3.9,84,3.9
Steven L. Mueller,2.8,Southwestern Energy,None,4.2,49,118,3.8,43,614,3.9,Oil & Gas Services,3.3,80,3.8
Michael T. Rousseau,2.9,St. Jude Medical,None,3.5,19,626,3.2,83,1903,3.3,Health Care Products Manufacturing,3,64,3.3
John F. Lundgren,2.8,Stanley Black & Decker,None,3.2,184,479,3.1,72,350350,3.3,Industrial Manufacturing,3.2,61,3.2
Shira  Goodman,2.8,Staples,None,2.8,148,5011,3.2,70,1909,3.2,Office Supply Stores,3,53,3.2
Howard D. Schultz,3.2,Starbucks,None,3.8,6844,11915,4,88,2202,3.8,Fast-Food & Quick-Service Restaurants,3.4,77,3.4
Adam Aron,3.2,Starwood Hotels & Resorts,None,3.5,207,1504,3.8,50,335,3.8,"Hotels, Motels, & Resorts",3.6,75,3.4
Joseph L. Hooley,2.8,State Street,None,2.7,868,2662,2.9,67,1911,3,Investment Banking & Asset Management,3,54,3.3
Charles A. Alutto,2.5,Stericycle,None,2.9,145,383,2.8,58,6009,2.7,Building & Personnel Services,2.8,39,2.9
Kevin A. Lobo,3.6,Stryker,None,3.7,498,1178,4,90,1918,3.9,Health Care Products Manufacturing,3.7,76,3.5
William H. (Bill) Rogers Jr.,2.5,SunTrust,None,3.1,628,1663,3,72,631,3,Banks & Credit Unions,2.9,52,3.1
Greg Clark,2.7,Symantec,None,3.7,22,2848,3.4,84,1931,3.5,Computer Hardware & Software,3.2,66,3.8
Bill DeLaney,2.8,Sysco,None,3.5,291,781,3.1,69,634,3.2,Wholesale,3.1,54,2.8
William J. Stromberg,3.2,T. Rowe Price,None,3.4,31,511,3.7,96,3583,3.7,Investment Banking & Asset Management,3.3,73,3.6
Brian Cornell,2.9,Target,None,3.1,3702,20180,3.5,75,194,3.4,"Department, Clothing, & Shoe Stores",3.1,62,3.1
Tom Lynch,2.8,TE Connectivity,None,3.5,404,752,3.3,81,18055,3.3,Electrical & Electronic Manufacturing,3.1,61,3.4
Trevor Fetter,2.4,Tenet Healthcare,None,3.2,114,309,2.7,67,466,2.9,Health Care Services & Hospitals,2.9,48,2.8
Vic Lund,2.7,Teradata,None,3.2,40,830,3.2,84,14638,3.4,Computer Hardware & Software,3.1,65,3.8
Gregory J. Goff,3.4,Tesoro Corporation,None,4.1,69,138,3.6,99,648,3.6,Oil & Gas Exploration & Production,3.6,74,3.3
Rich Templeton,3.5,Texas Instruments,None,4,1090,1868,4,92,651,4,Electrical & Electronic Manufacturing,3.7,87,3.7
Scott C. Donnelly,3.3,Textron,None,3.5,90,217,3.4,72,654,3.6,Aerospace & Defense,3.4,69,3.4
Christopher Swift,3,The Hartford,None,3.5,258,1187,3.5,79,4314,3.3,Insurance Carriers,3.1,56,3.3
John P. (J.P.) Bilbrey,3,The Hershey Company,None,3.8,204,462,3.7,74,326,3.4,Food & Beverage Manufacturing,3.1,66,3.2
Craig Menear,3,The Home Depot,None,3.2,2549,12534,3.6,78,655,3.4,Home Centers & Hardware Stores,3.3,66,3
Mark T. Smucker,3.4,The J. M. Smucker Company,None,3.6,16,214,3.9,83,362,3.7,Food & Beverage Manufacturing,3.4,70,3.9
Marc N. Casper,2.7,Thermo Fisher Scientific,None,3.1,540,1394,3.1,75,658,3.1,Biotech & Pharmaceuticals,3,58,3
Frederic Cumenal,2.6,Tiffany & Co.,None,3.4,82,692,3,60,663,3.1,Other Retail Stores,2.7,48,2.9
Jeff Bewkes,2.5,Time Warner,None,3.6,79,190,3,82,12777,3.2,TV Broadcast & Cable Networks,2.7,56,3.2
Robert D. Marcus,2.9,Time Warner Cable,None,3.8,830,3170,3.3,54,13229,3.4,"Cable, Internet & Telephone Providers",3.3,66,3.2
Ernie Herrman,3.1,TJX Companies,None,2.9,23,1222,3.5,100,639,3.4,"Department, Clothing, & Shoe Stores",3.2,68,3.4
Greg Sandfort,2.7,Tractor Supply,None,2.9,246,669,3.5,68,2602,3.1,Home Centers & Hardware Stores,3.1,55,2.8
Jeremy D. Thigpen,3.1,Transocean,None,3.9,15,135,3.3,75,33,3.5,Oil & Gas Exploration & Production,3.1,75,3.5
Alan D. Schnitzer,3.1,Travelers,None,3.7,84,1438,3.3,86,1904,3.4,Insurance Carriers,3.3,67,3.3
Stephen Kaufer,2.9,TripAdvisor,None,3.8,255,372,3.5,78,15276,3.5,Internet,3,66,3.7
Troy Woods,2.7,TSYS|Total System Services,None,3.3,110,371,3.3,75,671,3.2,Financial Transaction Processing,2.9,56,3.4
George R. Oliver,2.2,Tyco,None,3,193,778,2.6,47,681,2.7,Industrial Manufacturing,2.5,40,2.9
Donnie Smith,3.1,Tyson Foods,None,3.7,191,489,3.4,89,1975,3.4,Food & Beverage Manufacturing,3.4,65,3.1
Richard K. Davis,3.2,U.S. Bank,None,2.9,1935,3282,3.5,91,8937,3.4,,3.2,65,3.4
Kevin A. Plank,3.2,Under Armour,None,3.5,324,558,4.1,97,15422,3.8,Consumer Products Manufacturing,3.4,77,3.2
Lance Fritz,2.5,Union Pacific,None,4,165,668,2.8,62,691,3.2,Transportation Management,3.3,52,2.3
Michael J. Kneeland,3.2,United Rentals,None,3.8,235,355,3.4,88,7395,3.6,Commercial Equipment Rental,3.5,79,3.4
Gregory J. Hayes,2.6,United Technologies,None,3.1,66,481,2.9,66,697,3.2,Aerospace & Defense,3,54,3
Steve Hemsley,2.7,UnitedHealth Group,None,3,1792,5322,3.2,73,1991,3.1,Insurance Carriers,3.1,56,3.2
Alan B. Miller,2.5,Universal Health Services,None,3,110,278,2.7,52,2001,2.9,Health Care Services & Hospitals,2.8,44,2.8
Rick McKenney,3.4,Unum Group,None,3.9,3,360,3.6,100,9522,3.6,Insurance Carriers,3.3,75,3.8
David Abney,3,UPS,None,3.8,1285,6764,3.3,79,3012,3.5,Logistics & Supply Chain,3.5,67,3.1
Richard A. Hayne,2.8,Urban Outfitters,None,2.9,462,1460,3.5,53,2372,3.3,"Department, Clothing, & Shoe Stores",3,61,3.1
Joe Gorder,3.8,Valero Energy,None,4.2,54,240,4.2,93,704,4.1,Energy,3.6,85,3.8
Dow R. Wilson,3.1,Varian Medical Systems,None,3.5,146,296,3.6,88,9111,3.5,Health Care Products Manufacturing,2.9,68,3.6
D. James Bidzos,3,Verisign,None,4.3,94,286,3.5,81,7492,3.8,IT Services,3.3,73,3.9
Lowell McAdam,2.8,Verizon,None,4,2211,6009,3.2,65,89,3.4,Enterprise Software & Network Solutions,3.1,63,3.1
"Jeffrey Leiden, M.D., Ph.D",3.1,Vertex Pharmaceuticals,None,4.3,81,201,3.6,57,2080,3.4,Biotech & Pharmaceuticals,3.2,61,3.3
Eric C. Wiseman,3.2,VF,None,3.6,78,187,3.5,87,703,3.6,Consumer Products Manufacturing,3.1,75,3.3
Philippe P. Dauman,3.1,Viacom,None,3.2,271,664,3.7,47,40260,3.6,Motion Picture Production & Distribution,3.2,62,3.7
Charles Scharf,2.4,Visa Inc.,None,3.3,14,1524,2.8,38,3035,2.8,IT Services,2.7,45,3.1
DG Macpherson,2.8,W.W. Grainger,None,3.6,14,1347,3.3,67,711,3.4,Wholesale,3.1,61,3.4
Stefano Pessina,2.8,Walgreens,None,3,1289,8867,3.1,49,716,3.2,Drug & Health Stores,3,51,2.9
Doug McMillon,2.7,Walmart,None,3.1,5519,22182,3,65,715,3.2,General Merchandise & Superstores,3.3,56,2.8
Bob Iger,3.3,Walt Disney Company,None,3.5,1124,2123,4.1,88,717,3.8,Motion Picture Production & Distribution,3.4,77,3.4
David P. Steiner,2.5,Waste Management,None,3.5,481,976,2.9,64,2094,3.1,Utilities,2.9,55,2.9
Christopher O'Connell,3.5,Waters,None,3.5,26,186,3.8,98,5431,4,Biotech & Pharmaceuticals,3.7,80,3.8
Timothy J. Sloan,3,Wells Fargo,None,3.5,12,14381,3.5,55,8876,3.4,Banks & Credit Unions,3.5,65,3.3
Stephen D. Milligan,2.5,Western Digital,None,2.9,218,651,2.7,48,1067,2.9,Computer Hardware & Software,2.6,38,3
Hikmet Ersek,2.9,Western Union,None,3.5,247,540,3.3,79,14655,3.4,Financial Transaction Processing,3.1,63,3.4
Doyle Simons,2.7,Weyerhaeuser,None,3.1,79,292,3.3,40,730,3.3,Wood Product Manufacturing,2.9,52,3.3
Jeff M. Fettig,3,Whirlpool Corporation,None,3.3,451,970,3.6,81,732,3.5,Consumer Products Manufacturing,3.6,70,3.4
John Mackey and Walter Robb,2.8,Whole Foods Market,None,3.4,1702,4150,3.5,64,422,3.4,Grocery Stores & Supermarkets,3.3,62,3.1
Alan S. Armstrong,3,Williams,None,4,114,251,3.6,70,736,3.7,Oil & Gas Services,3.1,68,4
Stephen P. Holmes,3.2,Wyndham Worldwide,None,3.5,243,548,3.6,88,40166,3.5,"Hotels, Motels, & Resorts",3.4,66,3.3
Stephen A. Wynn,3.2,Wynn Resorts,None,3.8,99,177,3.9,80,15096,3.9,Gambling,3.6,79,3.3
Benjamin G.S. Fowke III,2.9,Xcel Energy,None,3.5,108,259,3.1,73,487,3.3,Utilities,3.1,62,3.4
