"","id","company","industry","ceo2015","ceo2016","ceo_comp","median_comp","ratio","numberOfRatings","ceoratings","overall_2014","overall","culturevalues","wlb","careerops","comp","srleadership","ceopctApprove","rectofriend","profits","size","ceo.match"
"184",282,"Genuine Parts","Logistics & Supply Chain","Thomas C. Gallagher","Tom Gallagher",10130811,59131,171,97,37,3,3.1,2.7,3,2.7,3.3,2.6,67,53,706,39600,"match"
"185",34925,"Genworth Financial","Insurance Carriers","Thomas J. McInerney","Thomas McInerney",2696365,77128,35,463,145,3.3,3.2,3.2,3.5,2.6,3.4,2.6,46,47,560,4100,"match"
"186",2016,"Gilead Sciences","Biotech & Pharmaceuticals","John C. Martin","John Milligan",18957994,119176,159,461,24,3,3.1,3,2.3,2.9,3.5,2.7,80,58,18108,8000,"match"
"187",2800,"Goldman Sachs","Investment Banking & Asset Management","Lloyd C. Blankfein","Lloyd C. Blankfein",22162912,107205,207,3601,2066,3.8,3.8,3.8,2.7,3.9,3.8,3.4,93,77,6083,36500,"match"
"188",292,"Goodyear","Industrial Manufacturing","Richard J. Kramer","Richard J. (Rich) Kramer",17853097,61260,291,567,230,3.4,3.2,2.9,2.8,3.1,3.5,2.7,78,61,307,66000,"match"
"190",303,"H&R Block","Other Retail Stores","William C. Cobb","William C. Cobb",7485383,35488,211,2096,628,3.6,3.5,3.5,3.6,3.1,2.6,3.1,75,69,374,2400,"match"
"191",307,"Halliburton","Oil & Gas Services","David J. Lesar","Dave Lesar",20560157,79045,260,1971,853,3.3,3.4,3.1,2.8,3.2,3.6,2.7,62,65,-671,55000,"match"
"192",13758,"Hanesbrands","Consumer Products Manufacturing","Richard A. Noll","Rich Noll",11116508,58000,192,246,108,3.3,2.9,2.8,2.9,2.5,3.1,2.5,44,47,429,65300,"match"
"194",315,"HARMAN","Consumer Products Manufacturing","Dinesh C. Paliwal","Dinesh C. Paliwal",11965521,90263,133,452,222,3.3,3.3,3.1,3.3,3.2,3.1,2.9,75,64,343,24197,"match"
"195",317,"Harris","Aerospace & Defense","William M. Brown","Bill Brown",7847382,80149,98,1176,430,2.9,2.9,2.9,3.2,2.8,2.8,2.4,26,48,334,22300,"match"
"196",890,"Hasbro","Consumer Products Manufacturing","Brian Goldner","Brian Goldner",14623112,77800,188,299,43,4.1,3.7,4.1,3.8,3.2,3.5,3.5,89,80,452,5000,"match"
"197",5319,"Henry Schein","Wholesale","Stanley M. Bergman","Stanley M. Bergman",6869691,50000,137,308,170,3.3,3.4,3.6,3.6,3,3.2,3.1,71,58,479,19000,"match"
"198",30,"Hess Corporation","Oil & Gas Exploration & Production","Hess, John B.","John B. Hess",22459530,75883,296,264,148,3.6,4,4,3.7,3.5,4.2,3.5,90,80,-3056,2770,"match"
"199",327,"Hewlett-Packard","Computer Hardware & Software","Margaret C. Whitman","Meg Whitman",19612164,103632,189,15602,5819,3.3,3.3,3.4,3.6,3,3.1,2.8,68,61,4554,287000,"match"
"200",28,"Honeywell","Electrical & Electronic Manufacturing","David M. Cote, J.D.","David M. Cote",29142121,86785,336,3923,1621,3.2,3.1,2.9,3,2.9,2.8,2.5,56,51,4768,129000,"match"
"202",35009,"Hospira","Biotech & Pharmaceuticals","F. Michael Ball","F. Michael (Mike) Ball",11897977,78760,151,470,180,3,3.1,2.8,2.9,2.7,3.4,2.6,68,56,333,19000,"match"
"203",2062,"Hospital Corporation of America","Health Care Services & Hospitals","R. Milton Johnson","R. Milton Johnson",14625513,61000,240,970,271,3.4,3.4,3.3,3.3,3.4,3.3,3,76,66,2129,174000,"match"
"204",340,"Humana","Insurance Carriers","Bruce D. Broussard","Bruce  D. Broussard",10155401,60904,167,1963,715,3.5,3.5,3.6,3.4,3.3,3.5,3,79,69,1276,50100,"match"
"205",1496,"Huntington National Bank","Banks & Credit Unions","Stephen D. Steinour","Steve Steinour",7498609,48569,154,635,303,3,3.3,3.5,3.1,3.2,3.3,2.9,80,59,693,12386,"match"
"206",354,"IBM","Consulting","Virginia M. Rometty","Virginia Rometty",19345125,106184,182,25187,8482,3.2,3.4,3.3,3.5,3.3,3,2.8,57,60,13190,377757,"match"
"207",348,"Illinois Tool Works","Industrial Manufacturing","E. Scott Santi","E. Scott Santi",11999278,71182,169,280,84,2.9,3.2,3.2,3.3,2.9,3.3,2.8,61,52,1899,48000,"match"
"208",349,"Ingersoll Rand","Industrial Manufacturing","M. W. Lamach","Michael W. Lamach",19417506,74458,261,697,296,3.4,3.6,3.6,3.6,3.4,3.6,3.2,93,78,665,45000,"match"
"209",1519,"Intel Corporation","Computer Hardware & Software","Brian M. Krzanich","Brian M. Krzanich",11197400,113489,99,8169,2777,3.8,3.7,3.6,3.6,3.5,3.9,2.9,58,71,11420,107300,"match"
"210",13785,"Intercontinental Exchange","Investment Banking & Asset Management","Jeffrey C. Sprecher","Jeffrey C. Sprecher",10621045,110000,97,134,75,2.7,3.2,2.7,2.5,2.7,3.6,2.9,71,54,226,5549,"match"
"213",358,"Interpublic Group","Advertising & Marketing","Michael I. Roth","Michael I. Roth",12899339,73553,175,116,56,3.5,3.7,3.9,3.8,3.1,3.3,3.5,97,90,455,49200,"match"
"214",2293,"Intuit","Computer Hardware & Software","Brad D. Smith","Brad Smith",16548469,126999,130,2735,1460,3.8,4,4.2,4.1,3.5,4.3,3.6,95,81,365,7700,"match"
"215",8090,"Intuitive Surgical","Health Care Products Manufacturing","Gary S. Guthart","Gary S. Guthart",2617963,125073,21,165,94,3.8,4,4,3.5,3.8,4,3.7,91,82,589,3211,"match"
"216",4518,"Invesco","Investment Banking & Asset Management","Martin L. Flanagan","Marty Flanagan",15622002,66082,236,370,158,3.7,3.4,3.5,3.7,3,3.4,3.1,84,67,968,6552,"match"
"217",6774,"Iron Mountain Inc","IT Services","William L. Meaney","William Meaney",6840413,78160,88,724,208,2.9,3,3,3.4,2.6,3.2,2.5,58,49,122,20000,"match"
"218",1540,"J.B. Hunt","Logistics & Supply Chain","John N. Roberts, III","John N. Roberts III",4346470,52106,83,679,352,3.4,3.2,3.3,2.7,3.3,3,3,83,60,427,21562,"match"
"219",145,"J.P. Morgan","Investment Banking & Asset Management","James Dimon","Jamie Dimon",27701709,65344,424,10317,4267,3.5,3.6,3.4,3.2,3.5,3.6,3.1,88,70,24442,237420,"match"
"221",195,"John Deere","Industrial Manufacturing","Samuel R. Allen","Samuel Allen",20273296,74573,272,1106,552,3.8,3.8,3.9,3.8,3.3,3.8,3.4,95,77,1940,57200,"match"
"222",364,"Johnson & Johnson","Biotech & Pharmaceuticals","Alex Gorsky","Alex Gorsky",24989306,106821,234,2839,1032,3.9,4.1,4.1,3.8,3.7,4,3.6,96,87,15409,127100,"match"
"223",365,"Johnson Controls","Industrial Manufacturing","Alex A. Molinaroli","Alex A. Molinaroli",19540681,77724,251,1622,461,3.3,3.4,3.3,3.2,3.2,3.6,2.8,48,63,-530,139000,"match"
"224",316,"Joy Global","Industrial Manufacturing","Edward L. Doheny, II","Ted Doheny II",4534634,68407,66,133,42,2.8,3.1,2.9,3.1,2.7,3.6,2.3,44,50,-1178,13400,"match"
"226",377,"Kellogg Company","Food & Beverage Manufacturing","John A. Bryant","John Bryant",9258243,66946,138,956,443,3.2,3.3,3.4,3.1,3.1,3.6,2.8,69,59,614,33577,"match"
"228",381,"KeyBank","Investment Banking & Asset Management","Beth E. Mooney","Beth E. Mooney",7124566,53148,134,799,354,3.1,3.3,3.4,3.6,3.1,3.4,3,82,65,916,13483,"match"
"229",383,"Kimberly-Clark","Consumer Products Manufacturing","Thomas J. Falk","Tom Falk",15395181,83737,184,906,472,3.6,3.9,4,3.8,3.6,3.8,3.4,90,78,545,43000,"match"
"231",1557,"KLA-Tencor","Industrial Manufacturing","Richard P. Wallace","Rick Wallace",6889513,116394,59,560,300,3.3,3.6,3.4,3,3.2,3.4,3.1,89,68,366,5880,"match"
"232",592,"Kohl's","Department, Clothing, & Shoe Stores","Kevin Mansell","Kevin B. Mansell",9668796,23210,417,5649,2089,3.2,3.4,3.6,3.5,3.1,3,3.2,77,66,673,32000,"match"
"233",386,"Kroger","Grocery Stores & Supermarkets","W. Rodney McMullen","Rodney McMullen",12987582,20420,636,4800,978,3,3,3.1,2.8,2.9,2.9,2.7,59,46,2039,431000,"match"
"234",656,"L Brands","Department, Clothing, & Shoe Stores","Leslie H. Wexner","Leslie H. Wexner",24094036,61260,393,405,246,3.6,3.6,3.8,3.3,3.3,3.7,3.3,94,72,1253,22900,"match"
"235",10080,"L-3 Communications","Aerospace & Defense","Michael T. Strianese","Michael T. Strianese",14765393,81804,180,1290,439,3.2,3.3,3,3.2,3,3.7,2.7,71,59,-240,38000,"match"
"236",1679,"LabCorp","Research & Development","David P. King","Dave King",10472562,35970,291,1068,397,2.9,3.1,2.7,2.9,2.7,3.1,2.5,59,56,160,50000,"match"
"237",1582,"Lam Research","Electrical & Electronic Manufacturing","Martin B. Anstice","Martin Anstice",15009218,109247,137,407,176,3.8,3.7,3.7,3.1,3.5,3.8,3.3,91,73,143,7300,"match"
"238",397,"Legg Mason","Investment Banking & Asset Management","Joseph A. Sullivan","Joseph A. Sullivan",11548620,91734,126,99,13,3.6,3.5,3.7,4.1,2.9,3.5,3.1,89,68,-25,3066,"match"
"240",400,"Lennar","Real Estate","Stuart A. Miller","Stuart A. Miller",17909543,63000,284,181,92,3,3.4,3.4,3.3,3.2,3.5,3.2,82,57,803,7749,"match"
"241",7705,"Level 3 Communications","Cable, Internet & Telephone Providers","Jeff K. Storey","Jeff Storey",10850861,96791,112,970,349,3.1,2.9,2.8,3,2.8,3.3,2.6,63,47,3433,12500,"match"
"242",403,"Lincoln Financial Group","Insurance Carriers","Dennis R. Glass","Dennis R. Glass",12195333,54278,225,504,216,3.6,3.4,3.5,3.4,3,3.6,2.9,84,69,1154,9312,"match"
"243",1598,"Linear Technology","Electrical & Electronic Manufacturing","Lothar Maier","Lothar Maier",6386772,102429,62,90,48,3.8,3.7,2.9,3.4,3,4.1,3.2,87,58,521,4868,"match"
"244",404,"Lockheed Martin","Aerospace & Defense","Marillyn A. Hewson","Marillyn Hewson",33687442,85465,394,4450,1382,3.5,3.6,3.5,3.6,3.4,3.6,3.1,86,72,3605,126000,"match"
"245",415,"Lowe's","Home Centers & Hardware Stores","Robert A. Niblock","Robert A. Niblock",14279945,29720,480,10727,3791,3.4,3.5,3.5,3,3.3,3.5,3,73,72,2546,180000,"match"
"247",858,"M&T Bank","Banks & Credit Unions","Robert G. Wilmers","Bob Wilmers",4223419,51816,82,650,322,3.2,3.2,3.4,3.5,3.2,2.8,3.1,90,60,1080,16331,"match"
"248",3939,"Macerich","Real Estate","Arthur M. Coppola","Art Coppola",14212869,49780,286,68,36,3.4,3,2.8,3.3,2.2,3.2,2.5,59,40,488,997,"match"
"249",1079,"Macy's","Department, Clothing, & Shoe Stores","Terry J. Lundgren","Terry J. Lundgren",16497220,22800,724,11597,3557,3,3.1,3.1,3.1,2.9,2.7,2.7,66,53,1072,157900,"match"
"250",669747,"Mallinckrodt Pharmaceuticals","Biotech & Pharmaceuticals","Mark Christopher Trudeau","Mark Trudeau",6502676,96995,67,183,77,2.7,2.6,2.5,3.1,2.4,3.2,2.3,31,36,325,5700,"match"
"251",8229,"Marathon Oil","Oil & Gas Exploration & Production","Lee M. Tillman","Lee Tillman",11498067,119176,96,219,82,3,2.9,3.1,3.8,2.6,3.8,2.4,22,46,-2204,2611,"match"
"252",7657,"Marathon Petroleum","Oil & Gas Exploration & Production","Gary R. Heminger","Gary R. Heminger",16401255,80000,205,266,136,4,4,3.9,3.8,3.9,4.3,3.7,89,77,2852,45440,"match"
"253",7790,"Marriott","Hotels, Motels, & Resorts","Arne M. Sorenson","Arne Sorenson",14892836,30620,486,3646,1287,3.7,3.8,3.8,3.2,3.6,3.4,3.3,90,72,859,127500,"match"
"254",426,"Marsh & McLennan Companies","Insurance Agencies & Brokerages","Daniel S. Glaser","Daniel S. Glaser",14906638,74460,200,491,55,3.2,3.6,3.4,3.4,3.4,3.5,3.1,95,77,1599,60000,"match"
"255",427,"Masco","Consumer Products Manufacturing","Keith J. Allman","Keith Allman",4750833,61790,77,87,16,3.1,3,3.1,3.3,2.3,3,2.6,59,54,355,25000,"match"
"256",3677,"MasterCard","Financial Transaction Processing","Ajay Banga","Ajay Banga",13406041,127625,105,750,454,3.6,3.5,3.6,3.6,3.3,3.7,3.1,92,70,3808,11300,"match"
"260",433,"McGraw Hill Financial","Investment Banking & Asset Management","Douglas L. Peterson","Douglas L. Peterson",6498116,108555,60,318,59,3.4,3.4,3.1,3.6,2.9,3.4,2.6,89,70,NA,NA,"match"
"261",434,"McKesson","Health Care Services & Hospitals","John H. Hammergren","John H. Hammergren",25919882,83491,310,1997,750,3.2,3.4,3.3,3.3,3.1,3.5,2.9,72,60,2258,68000,"match"
"262",13969,"Mead Johnson","Consumer Products Manufacturing","Peter Kasper Jakobsen","Peter Kasper Jakobsen",8369158,100267,83,139,50,3.3,3.6,3.6,3.7,2.8,3.7,3.1,76,82,654,7660,"match"
"263",436,"Medtronic","Biotech & Pharmaceuticals","Omar Ishrak","Omar S. Ishrak",12118846,96005,126,1785,715,3.7,3.7,3.7,3.4,3.4,3.7,3.1,91,76,3538,88000,"match"
"264",438,"Merck","Health Care Services & Hospitals","Kenneth C. Frazier","Kenneth C. Frazier",25029370,110183,227,1949,750,3.2,3.4,3.3,3.4,3,3.6,2.8,68,64,4442,68000,"match"
"265",2899,"MetLife","Insurance Carriers","Steven A. Kandarian","Steven A. Kandarian",15163802,79045,192,2062,707,3.2,3.2,3.2,3.4,2.9,3.3,2.8,71,55,5310,69000,"match"
"266",20439,"Michael Kors","Other Retail Stores","John D. Idol","John Idol",13559220,32000,424,889,274,3.4,3.4,3.3,3.1,2.8,3.4,2.9,84,61,839,12689,"match"
"267",2298,"Microchip Technology","Electrical & Electronic Manufacturing","Steve Sanghi","Steve Sanghi",5767310,81124,71,346,208,3.7,3.4,3.8,4.1,3.3,3,3.4,79,69,324,9766,"match"
"268",1648,"Micron Technology","Electrical & Electronic Manufacturing","D. Mark Durcan","D. Mark Durcan",11479108,84743,135,972,408,3.4,3.3,3.2,3.2,3.2,3.5,2.8,74,61,2899,31800,"match"
"269",1651,"Microsoft","Computer Hardware & Software","Satya Nadella","Satya Nadella",84308755,137000,615,15062,4671,3.8,4,3.8,3.7,3.7,4,3.4,94,84,12193,118000,"match"
"270",1644,"Mohawk Industries","Industrial Manufacturing","Jeffrey S. Lorberbaum","Jeffrey S. Lorberbaum",5005702,60074,83,231,114,3.2,3.2,3.1,3.2,3.2,3.2,2.9,78,61,615,34100,"match"
"271",628257,"Mondelez International","Food & Beverage Manufacturing","Irene Rosenfeld","Irene Rosenfeld",21039946,49225,427,974,394,3.1,3.1,3,2.9,2.8,3.3,2.7,43,50,7267,99000,"match"
"272",11986,"Monsanto Company","Food Production","Hugh Grant","Hugh Grant",13436483,81680,165,964,555,3.8,3.9,3.8,3.7,3.4,3.9,3.3,94,79,2314,22500,"match"
"273",11303,"Moody's","Financial Analytics & Research","Raymond W. McDaniel, Jr.","Ray McDaniel Jr.",14099502,103208,137,467,220,3.6,3.5,3.6,3.9,3.1,3,3,83,70,184,10752,"match"
"274",2282,"Morgan Stanley","Investment Banking & Asset Management","James P. Gorman","James P. Gorman",23270044,98232,237,4534,1691,3.6,3.7,3.7,3.4,3.6,3.5,3.4,91,76,6127,56218,"match"
"276",427189,"Motorola Solutions","Telecommunications Manufacturing","Gregory Q. Brown","Gregory Q. Brown",7969131,108558,73,1241,531,3.2,3.2,3.1,3.6,2.8,3.4,2.6,32,50,610,14000,"match"
"277",453,"Murphy Oil","Oil & Gas Exploration & Production","Roger W. Jenkins","Roger W. Jenkins",12778568,44929,284,128,21,3,2.6,2.6,2.7,2.3,3.4,2.1,23,36,-2271,1258,"match"
"278",12152,"NASDAQ","Stock Exchanges","Robert Greifeld","Bob Greifeld",12083929,131709,92,256,133,3.6,3.3,3.2,3.3,3.1,3.5,3.1,68,61,428,3824,"match"
"279",3306,"National Oilwell Varco","Oil & Gas Services","Clay C. Williams","Clay C. Williams",10863057,64074,170,1088,311,3.4,3.5,3.3,3.5,3.1,3.5,2.9,74,66,-769,44326,"match"
"280",807453,"Navient","Financial Transaction Processing","Jack Remondi","John (Jack) F. Remondi",6613724,62440,106,117,49,2.6,3,2.8,3,2.8,3.4,2.7,64,43,997,7300,"match"
"282",11891,"Netflix","Internet","Reed Hastings","Reed Hastings",11063926,134721,82,617,433,3.6,3.6,3.7,3.5,3.2,4.3,3.3,88,64,123,3500,"match"
"283",477,"Newell Rubbermaid","Consumer Products Manufacturing","Michael B. Polk","Michael B. Polk",12351559,77724,159,570,244,3.1,3,2.7,3,2.8,3,2.5,53,45,350,17200,"match"
"284",2367,"Newfield Exploration","Oil & Gas Exploration & Production","Lee K. Boothby","Lee K. Boothby",6716841,112337,60,63,39,3.1,3.5,3.4,3.8,3.3,4.1,3,73,71,-3362,1111,"match"
"285",479,"Newmont Mining","Mining","Gary J. Goldberg","Gary J. Goldberg",9547404,110268,87,142,55,3.2,3.3,3.4,3.2,3.1,4.1,3.2,73,64,220,15600,"match"
"287",221824,"NextEra Energy, Inc.","Utilities","James L. Robo","James L. Robo",12183296,92554,132,281,105,3.1,3.7,3.7,3,3.5,3.7,3.2,72,73,2752,13800,"match"
"288",3776,"Nielsen","Advertising & Marketing","Mitch Barns","Mitch Barns",6957892,71646,97,2608,748,3.6,3.6,3.7,3.4,3.5,3.1,3.3,92,74,NA,NA,"match"
"289",1699,"NIKE","Consumer Products Manufacturing","Mark G. Parker","Mark G. Parker",16819730,44073,382,2377,1249,4,3.9,4.1,3.6,3.5,3.6,3.3,93,82,3273,62600,"match"
"292",1704,"Nordstrom","Department, Clothing, & Shoe Stores","Blake W. Nordstrom","Blake W. Nordstrom",3789239,34738,109,7041,3928,3.6,3.5,3.7,2.9,3.5,3.4,3.1,90,68,600,72500,"match"
"293",483,"Norfolk Southern","Rail","Charles W. Moorman, IV","Wick Moorman IV",13536017,65133,208,444,189,3.2,2.8,2.4,1.9,3,3.8,2.3,52,33,1556,30456,"match"
"294",1710,"Northern Trust","Banks & Credit Unions","Frederick H. Waddell","Rick Waddell",12435522,67258,185,1103,556,3.4,3.6,3.7,3.8,3.2,2.9,3.1,90,73,974,16300,"match"
"295",488,"Northrop Grumman","Aerospace & Defense","Wesley G. Bush","Wesley G. Bush",21795703,88147,247,3203,1350,3.5,3.6,3.5,3.7,3.5,3.6,3.1,86,76,1990,65000,"match"
"297",489,"Nucor","Metal & Mineral Manufacturing","John J. Ferriola","John J. Ferriola",8941639,70469,127,121,24,3.4,3.5,3.8,2.8,3.3,3.8,3.3,86,72,358,23700,"match"
"298",7633,"NVIDIA","Computer Hardware & Software","Jen-Hsun Huang","Jen-Hsun Huang",6022630,127317,47,1294,945,3.9,4,4,3.6,3.9,3.8,3.7,95,86,614,9227,"match"
"299",2328,"O'Reilly Auto Parts","Automotive Parts & Accessories Stores","Gregory L. Henslee","Greg Henslee",4465436,29247,153,964,380,3.2,3.3,3.5,3,3.2,2.7,2.9,76,59,931,37879,"match"
"301",1734,"Omnicom","Advertising & Marketing","John D. Wren","John D. Wren",24014697,76493,314,73,28,3.9,3.2,3,3.1,3.3,3.4,3.1,89,70,1094,74900,"match"
"302",490,"ONEOK","Transportation Management","Terry K. Spencer","Terry K. Spencer",4042922,74365,54,78,25,3.7,3.6,3.9,3.8,2.9,3.2,3.7,96,82,245,2364,"match"
"305",1744,"PACCAR","Transportation Equipment Manufacturing","Ronald E. Armstrong","Ronald E. Armstrong",6757823,70669,96,374,62,2.8,2.8,2.5,3.3,3.2,2.8,2.6,71,47,1604,23000,"match"
"306",15208,"Pacific Gas and Electric","Utilities","Anthony F. Earley, Jr.","Anthony F. Earley Jr.",11627216,106819,109,865,368,3.6,3.9,3.6,3.6,3.7,4.1,3.1,87,78,888,23000,"match"
"307",974,"Pall","Industrial Manufacturing","Lawrence D. Kingsley","Lawrence D. Kingsley",9471578,88530,107,238,97,2.6,3,2.7,2.9,2.7,3.2,2.5,39,44,364,10400,"match"
"309",1923,"Patterson Companies","Wholesale","Scott P. Anderson","Scott P. Anderson",2570509,56997,45,84,45,3.4,3.2,3.3,3.3,2.9,3.1,2.9,78,51,187,7000,"match"
"310",1762,"Paychex","","Martin Mucci","Martin Mucci",6006823,60285,100,1298,617,3.6,3.6,3.7,3.5,3.4,3.4,3.3,89,69,675,13400,"match"
"311",1767,"Pentair","Industrial Manufacturing","Randall J. Hogan","Randall J. Hogan",14836702,82097,181,317,121,2.9,3.2,3.1,3.1,3.1,3.2,2.7,68,58,NA,NA,"match"
"312",199620,"People's United Bank","Investment Banking & Asset Management","John P. Barnes","John P. (Jack) Barnes",3698121,35000,106,260,100,2.9,2.6,2.8,2.7,2.5,2.5,2.3,57,35,260,4652,"match"
"313",543,"Pepco Holdings","Utilities","Joseph M. Rigby","Joe Rigby",7227146,83510,87,91,47,3.2,3.3,2.8,3.7,3.6,4,2.8,66,66,327,5184,"match"
"314",522,"PepsiCo","Food & Beverage Manufacturing","Indra K. Nooyi","Indra K. Nooyi",22485574,61876,363,4964,1826,3.5,3.4,3.5,2.9,3.5,3.7,3.2,76,63,5452,263000,"match"
"315",218,"PerkinElmer","Biotech & Pharmaceuticals","Robert F. Friel","Rob Friel",8934070,89848,99,292,125,2.4,3.1,3.1,3.3,2.9,3.2,2.7,54,54,212,8000,"match"
"317",525,"Pfizer","Biotech & Pharmaceuticals","Ian C. Read","Ian Read",23283048,114526,203,2095,740,3.7,3.7,3.6,3.6,3.3,3.8,3.3,85,78,6959,97900,"match"
"318",498821,"Phillips 66","Asphalt Products Manufacturing","Greg C. Garland","Greg C. Garland",24508433,92065,266,227,126,3.8,3.8,3.8,3.5,3.5,4.1,3.4,99,83,4227,14000,"match"
"319",535,"Pitney Bowes","Advertising & Marketing","Marc B. Lautenbach","Marc Lautenbach",6966360,70647,99,1070,321,3.2,3.4,3.4,3.7,3,3.4,3.1,80,61,408,14800,"match"
"320",507,"PNC Financial Services Group","Investment Banking & Asset Management","William S. Demchak","William S. Demchak",11337904,42489,267,3057,993,3.3,3.3,3.6,3.5,3.3,3,3,76,59,4106,49148,"match"
"323",2207,"Praxair","Chemical Manufacturing","Stephen F. Angel","Steve Angel",19687401,80576,244,403,173,3.1,3.1,3,3,3,3,2.6,78,55,1547,26657,"match"
"324",1798,"Precision Castparts","Transportation Equipment Manufacturing","Mark Donegan","Mark Donegan",9699876,71460,136,171,85,2.9,2.8,2.3,2.1,2.9,3.4,2.3,55,40,1530,30106,"match"
"329",2631,"Prologis","Real Estate","Hamid R. Moghadam","Hamid R. Moghadam",16514721,75244,219,74,30,3.7,3.7,3.7,3.3,3.5,3.9,3.5,86,76,869,1555,"match"
"330",2944,"Prudential","Investment Banking & Asset Management","John Robert Strangfeld","John R. Strangfeld",37483092,72771,515,1456,635,3.5,3.5,3.7,3.7,3.4,3.5,3.3,90,71,5642,49384,"match"
"331",16719,"PSEG","Utilities","Ralph Izzo, Ph.D.","Ralph Izzo",11014644,93008,118,238,100,3.2,3.5,3.2,3.2,3.2,3.8,2.9,83,71,1679,13025,"match"
"332",626,"Public Storage","Real Estate","Ronald L. Havner, Jr.","Ronald L. Havner Jr.",9009200,26027,346,727,425,3.1,3.1,2.9,3.4,2.6,3,2.9,58,47,1311,5300,"match"
"333",506,"Pulte Homes","Construction","Richard J. Dugas, Jr.","Richard J. Dugas Jr.",7723041,69027,112,305,175,3.6,2.9,3,2.8,2.7,3.2,2.5,47,47,494,4542,"match"
"334",530,"PVH Corp.","Department, Clothing, & Shoe Stores","Emanuel Chirico","Manny Chirico",13026532,45641,285,349,193,3.5,3.5,3.5,3.4,3,3.6,3,80,69,572,18200,"match"
"335",640,"Qualcomm","Computer Hardware & Software","Steven M. Mollenkopf","Steve Mollenkopf",60740592,121249,501,3588,1007,3.7,3.6,3.4,3.2,3.4,3.7,2.9,63,67,5271,33000,"match"
"336",6655,"Quest Diagnostics","Health Care Services & Hospitals","Stephen H. Rusckowski	","Steve Rusckowski",9266835,55828,166,1295,475,2.8,3.1,2.9,3,2.8,3.2,2.5,60,52,709,44000,"match"
"337",561,"Raytheon","Aerospace & Defense","Thomas A. Kennedy","Thomas A. Kennedy",13733364,89057,154,2500,304,3.4,3.6,3.4,3.6,3.4,3.7,3,86,73,2074,61000,"match"
"338",8868,"Red Hat","Computer Hardware & Software","James M. Whitehurst","Jim Whitehurst",6692552,115693,58,744,477,4,4,4.1,4,3.8,3.7,3.4,97,82,199,8800,"match"
"339",981,"Regeneron Pharmaceuticals","Biotech & Pharmaceuticals","Leonard S. Schleifer","Leonard S. Schleifer",41965424,79332,529,275,184,3.8,3.5,3.7,3.1,3.5,3.8,3.4,94,68,636,4300,"match"
"340",1397,"Regions Financial","Investment Banking & Asset Management","O. B. Grayson Hall, Jr.","O. B. Grayson Hall Jr.",14421247,37683,383,970,403,3.5,3.4,3.6,3.7,3.2,3.3,3.1,89,63,1062,23916,"match"
"341",8328,"Republic Services","Utilities","Donald W. Slager","Donald W. (Don) Slager",5705379,62208,92,597,254,2.9,3,2.9,2.7,2.9,3.5,2.6,66,48,750,33000,"match"
"342",7736,"Reynolds American","Consumer Products Manufacturing","Susan M. Cameron","Susan M. Cameron",10751553,63906,168,436,134,3.4,4.2,4.2,3.9,3.7,4.1,4,97,88,3253,5600,"match"
"343",1838,"Robert Half","Staffing & Outsourcing","Harold M. Messmer, Jr.","Harold M. Messmer Jr.",8292876,56788,146,1806,673,3.2,3.4,3.1,3.2,3.4,3.1,3.1,75,62,358,16100,"match"
"345",13435,"Rockwell Collins","Aerospace & Defense","Robert K. Ortberg","Kelly Ortberg",5828786,81536,71,1088,338,3.5,3.6,3.7,3.8,3.4,3.4,3.2,93,73,686,19500,"match"
"346",1843,"Ross Stores","Department, Clothing, & Shoe Stores","Barbara Rentler","Barbara Rentler",12083834,19120,632,2701,432,2.8,3.1,3,3.1,3.1,2.7,2.8,65,53,1021,77800,"match"
"347",3579,"Royal Caribbean Cruises","Cruise Ships","Richard D. Fain","Richard D. Fain",12013878,68146,176,508,248,3.6,3.7,3.6,3.1,3.7,3.5,3.1,75,67,666,65900,"match"
"348",575,"Ryder System","Transportation Management","Robert E. Sanchez","Robert E. Sanchez",5654252,55702,102,668,214,3.1,3.3,3,2.8,3,3.2,2.8,84,63,305,33100,"match"
"349",11159,"Salesforce","Computer Hardware & Software","Marc Benioff","Marc Benioff",31333332,151512,207,2425,1786,3.9,4.2,4.4,3.9,4.1,4.3,3.9,97,85,-47,19000,"match"
"351",577,"SCANA","Energy","Kevin B. Marsh","Kevin Marsh",5710448,71079,80,84,38,3.5,3.8,3.9,4,3.2,3.7,3.5,91,85,746,5829,"match"
"352",588,"Schlumberger","Oil & Gas Services","Paal Kibsgaard","Paal Kibsgaard",18518374,94443,196,3221,1141,3.5,3.5,3.4,2.6,3.6,3.7,2.9,64,69,2072,95000,"match"
"353",38201,"Scripps Networks Interactive","TV Broadcast & Cable Networks","Kenneth W. Lowe","Ken Lowe",11838015,77074,154,229,125,3.5,3.8,3.8,4,3.1,3.6,3.3,88,81,607,3500,"match"
"354",1864,"Seagate Technology","Computer Hardware & Software","Stephen J. Luczo","Steve Luczo",2615517,108939,24,899,451,3.6,3.1,3.1,3.6,2.7,3.2,2.7,67,48,1742,52350,"match"
"355",590,"Sealed Air Corporation","Industrial Manufacturing","Jerome A. Peribere","Jerome Peribere",11963159,81340,147,298,115,3.1,3.3,3.2,3.3,3.2,3.3,2.8,65,60,335,23000,"match"
"356",8437,"Sempra Energy","Utilities","Debra L. Reed","Debra Reed",16893225,80833,209,99,48,3.9,4.5,4.1,3.8,3.8,4.4,4,100,94,1350,17387,"match"
